PMT ID,X Position,Y Position,Z Position
0,-681.965,-390.919,-991.096
1,-736.027,-138.561,-1116.93
2,-697.283,131.268,-1026.75
3,-681.965,390.919,-991.096
4,-477.826,-546.65,-1126.764
5,-468.157,-261.813,-1091.9
6,-473.357,0.0,-1110.648
7,-494.17,276.361,-1185.7
8,-452.673,517.875,-1036.066
9,-222.619,-641.983,-1039.557
10,-232.97,-390.919,-1115.613
11,-251.439,-138.561,-1251.318
12,-238.203,131.268,-1154.064
13,-232.97,390.919,-1115.613
14,-234.989,677.654,-1130.448
15,0.0,-762.56,-1002.52
16,0.0,-546.65,-1191.793
17,0.0,-261.813,-1155.613
18,0.0,276.361,-1252.953
19,0.0,517.875,-1097.672
20,0.0,762.56,-1002.52
21,222.619,-641.983,-1039.557
22,232.97,-390.919,-1115.613
23,251.439,-138.561,-1251.318
24,238.203,131.268,-1154.064
25,232.97,390.919,-1115.613
26,234.989,677.654,-1130.448
27,477.826,-546.65,-1126.764
28,468.157,-261.813,-1091.9
29,473.357,0.0,-1110.648
30,494.17,276.361,-1185.7
31,452.673,517.875,-1036.066
32,681.965,-390.919,-991.096
33,736.027,-138.561,-1116.93
34,697.283,131.268,-1026.75
35,681.965,390.919,-991.096
36,-585.084,-327.204,-1453.526
37,-591.582,0.0,-1476.957
38,-291.157,-488.555,-1483.162
39,-297.697,164.053,-1531.216
40,-291.157,488.555,-1483.162
41,0.0,-327.204,-1533.152
42,0.0,647.22,-1460.74
43,278.221,-802.325,-1388.109
44,291.157,-488.555,-1483.162
45,297.697,164.053,-1531.216
46,291.157,488.555,-1483.162
47,585.084,-327.204,-1453.526
48,591.582,0.0,-1476.957
49,-1040.6222,137.0005,658.5
50,-1040.6222,137.0005,439.00000000000006
51,-1040.6222,137.0005,219.5
52,-1040.6222,137.0005,0.0
53,-1040.6222,137.0005,-219.5
54,-1040.6222,137.0005,-439.0
55,-1040.6222,137.0005,-658.5
56,-969.7055,401.6652,658.5
57,-969.7055,401.6652,439.00000000000006
58,-969.7055,401.6652,219.5
59,-969.7055,401.6652,0.0
60,-969.7055,401.6652,-219.5
61,-969.7055,401.6652,-439.0
62,-969.7055,401.6652,-658.5
63,-832.705,638.957,658.5
64,-832.705,638.957,439.00000000000006
65,-832.705,638.957,219.5
66,-832.705,638.957,0.0
67,-832.705,638.957,-219.5
68,-832.705,638.957,-439.0
69,-832.705,638.957,-658.5
70,-638.957,832.705,658.5
71,-638.957,832.705,439.00000000000006
72,-638.957,832.705,219.5
73,-638.957,832.705,0.0
74,-638.957,832.705,-219.5
75,-638.957,832.705,-439.0
76,-638.957,832.705,-658.5
77,-401.6652,969.7055,658.5
78,-401.6652,969.7055,439.00000000000006
79,-401.6652,969.7055,219.5
80,-401.6652,969.7055,0.0
81,-401.6652,969.7055,-219.5
82,-401.6652,969.7055,-439.0
83,-401.6652,969.7055,-658.5
84,-137.0005,1040.6222,658.5
85,-137.0005,1040.6222,439.00000000000006
86,-137.0005,1040.6222,219.5
87,-137.0005,1040.6222,0.0
88,-137.0005,1040.6222,-219.5
89,-137.0005,1040.6222,-439.0
90,-137.0005,1040.6222,-658.5
91,137.0005,1040.6222,658.5
92,137.0005,1040.6222,439.00000000000006
93,137.0005,1040.6222,219.5
94,137.0005,1040.6222,0.0
95,137.0005,1040.6222,-219.5
96,137.0005,1040.6222,-439.0
97,137.0005,1040.6222,-658.5
98,401.6652,969.7055,658.5
99,401.6652,969.7055,439.00000000000006
100,401.6652,969.7055,219.5
101,401.6652,969.7055,0.0
102,401.6652,969.7055,-219.5
103,401.6652,969.7055,-439.0
104,401.6652,969.7055,-658.5
105,638.957,832.705,658.5
106,638.957,832.705,439.00000000000006
107,638.957,832.705,219.5
108,638.957,832.705,0.0
109,638.957,832.705,-219.5
110,638.957,832.705,-439.0
111,638.957,832.705,-658.5
112,832.705,638.957,658.5
113,832.705,638.957,439.00000000000006
114,832.705,638.957,219.5
115,832.705,638.957,0.0
116,832.705,638.957,-219.5
117,832.705,638.957,-439.0
118,832.705,638.957,-658.5
119,969.7055,401.6652,658.5
120,969.7055,401.6652,439.00000000000006
121,969.7055,401.6652,219.5
122,969.7055,401.6652,0.0
123,969.7055,401.6652,-219.5
124,969.7055,401.6652,-439.0
125,969.7055,401.6652,-658.5
126,1040.6222,137.0005,658.5
127,1040.6222,137.0005,439.00000000000006
128,1040.6222,137.0005,219.5
129,1040.6222,137.0005,0.0
130,1040.6222,137.0005,-219.5
131,1040.6222,137.0005,-439.0
132,1040.6222,137.0005,-658.5
133,1040.6222,-137.0005,658.5
134,1040.6222,-137.0005,439.00000000000006
135,1040.6222,-137.0005,219.5
136,1040.6222,-137.0005,0.0
137,1040.6222,-137.0005,-219.5
138,1040.6222,-137.0005,-439.0
139,1040.6222,-137.0005,-658.5
140,969.7055,-401.6652,658.5
141,969.7055,-401.6652,439.00000000000006
142,969.7055,-401.6652,219.5
143,969.7055,-401.6652,0.0
144,969.7055,-401.6652,-219.5
145,969.7055,-401.6652,-439.0
146,969.7055,-401.6652,-658.5
147,832.705,-638.957,658.5
148,832.705,-638.957,439.00000000000006
149,832.705,-638.957,219.5
150,832.705,-638.957,0.0
151,832.705,-638.957,-219.5
152,832.705,-638.957,-439.0
153,832.705,-638.957,-658.5
154,638.957,-832.705,658.5
155,638.957,-832.705,439.00000000000006
156,638.957,-832.705,219.5
157,638.957,-832.705,0.0
158,638.957,-832.705,-219.5
159,638.957,-832.705,-439.0
160,638.957,-832.705,-658.5
161,401.6652,-969.7055,658.5
162,401.6652,-969.7055,439.00000000000006
163,401.6652,-969.7055,219.5
164,401.6652,-969.7055,0.0
165,401.6652,-969.7055,-219.5
166,401.6652,-969.7055,-439.0
167,401.6652,-969.7055,-658.5
168,137.0005,-1040.6222,658.5
169,137.0005,-1040.6222,439.00000000000006
170,137.0005,-1040.6222,219.5
171,137.0005,-1040.6222,0.0
172,137.0005,-1040.6222,-219.5
173,137.0005,-1040.6222,-439.0
174,137.0005,-1040.6222,-658.5
175,-137.0005,-1040.6222,658.5
176,-137.0005,-1040.6222,439.00000000000006
177,-137.0005,-1040.6222,219.5
178,-137.0005,-1040.6222,0.0
179,-137.0005,-1040.6222,-219.5
180,-137.0005,-1040.6222,-439.0
181,-137.0005,-1040.6222,-658.5
182,-401.6652,-969.7055,658.5
183,-401.6652,-969.7055,439.00000000000006
184,-401.6652,-969.7055,219.5
185,-401.6652,-969.7055,0.0
186,-401.6652,-969.7055,-219.5
187,-401.6652,-969.7055,-439.0
188,-401.6652,-969.7055,-658.5
189,-638.957,-832.705,658.5
190,-638.957,-832.705,439.00000000000006
191,-638.957,-832.705,219.5
192,-638.957,-832.705,0.0
193,-638.957,-832.705,-219.5
194,-638.957,-832.705,-439.0
195,-638.957,-832.705,-658.5
196,-832.705,-638.957,658.5
197,-832.705,-638.957,439.00000000000006
198,-832.705,-638.957,219.5
199,-832.705,-638.957,0.0
200,-832.705,-638.957,-219.5
201,-832.705,-638.957,-439.0
202,-832.705,-638.957,-658.5
203,-969.7055,-401.6652,658.5
204,-969.7055,-401.6652,439.00000000000006
205,-969.7055,-401.6652,219.5
206,-969.7055,-401.6652,0.0
207,-969.7055,-401.6652,-219.5
208,-969.7055,-401.6652,-439.0
209,-969.7055,-401.6652,-658.5
210,-1040.6222,-137.0005,658.5
211,-1040.6222,-137.0005,439.00000000000006
212,-1040.6222,-137.0005,219.5
213,-1040.6222,-137.0005,0.0
214,-1040.6222,-137.0005,-219.5
215,-1040.6222,-137.0005,-439.0
216,-1040.6222,-137.0005,-658.5
217,0.0,-658.2630426,1149.73468817
218,0.0,-333.70812729,1232.16113626
219,0.0,333.70812729,1232.16113626
220,0.0,658.2630426,1149.73468817
221,-285.5184014,-814.30956245,1066.50182677
222,-302.33780102,-497.69491676,1174.21573576
223,-310.86443885,-167.42909866,1228.82157627
224,-310.86443885,167.42909866,1228.82157627
225,-302.33780102,497.69491676,1174.21573576
226,-285.5184014,814.30956245,1066.50182677
227,-607.94853693,-333.70812728,1137.23068996
228,-616.40212121,0.0,1163.63967968
229,-607.94853693,333.70812728,1137.23068996
230,-582.81965578,658.2630426,1058.72808695
231,285.5184014,-814.30956245,1066.50182677
232,302.33780102,-497.69491676,1174.21573576
233,310.86443885,-167.42909866,1228.82157627
234,310.86443885,167.42909866,1228.82157627
235,302.33780102,497.69491676,1174.21573576
236,285.5184014,814.30956245,1066.50182677
237,582.81965578,-658.2630426,1058.72808695
238,607.94853693,-333.70812728,1137.23068996
239,616.40212121,0.0,1163.63967968
240,607.94853693,333.70812728,1137.23068996
